Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,5,22,25.3,23.3,22.2,101.0,0.017276093,85,1.147,69.3,0,0,9,0,0,0,0,0
1,5,23,25.0,23.0,21.9,101.1,0.016923819,85,1.150,68.1,5,30,9,0,0,0,0,0
1,5,24,24.8,23.2,22.3,101.1,0.017314174,88,1.150,68.9,4,40,6,0,0,0,0,0
1,6,1,25.0,23.3,22.3,100.9,0.017420891,87,1.147,69.4,5,30,9,0,0,0,0,0
1,6,2,25.0,23.5,22.6,100.9,0.017731475,88,1.146,70.1,6,40,5,0,0,0,0,0
1,6,3,24.7,22.9,21.9,100.8,0.016951873,86,1.148,67.9,5,40,4,0,0,0,0,0
1,6,4,25.0,23.0,21.9,100.8,0.01697813,85,1.147,68.2,8,360,4,0,0,0,0,0
1,6,5,24.5,22.5,21.4,100.7,0.01644999,84,1.148,66.4,5,30,0,0,0,0,0,0
1,6,6,24.5,22.5,21.4,100.7,0.01644999,84,1.148,66.4,6,360,6,39,25,16,49,9
1,6,7,25.1,23.0,21.9,100.8,0.016936063,84,1.146,68.2,5,30,5,302,207,151,145,55
1,6,8,25.0,23.1,22.0,100.8,0.017131223,85,1.146,68.6,6,30,8,596,310,119,217,191
1,6,9,26.0,23.5,22.2,100.9,0.017310172,81,1.143,70.1,8,360,8,866,450,173,614,278
1,6,10,27.7,25.2,24.0,100.9,0.019337818,82,1.133,77.0,7,30,5,1094,749,548,257,201
1,6,11,27.5,24.5,23.1,100.9,0.018268396,78,1.136,74.1,8,40,8,1264,657,252,265,405
1,6,12,27.8,25.2,24.0,100.9,0.019295503,81,1.133,77.0,7,50,8,1364,709,272,566,438
1,6,13,28.6,25.1,23.5,100.9,0.018790387,76,1.131,76.6,5,20,6,1388,888,574,582,314
1,6,14,30.2,26.7,25.2,100.8,0.02089204,76,1.120,83.6,8,60,6,1334,854,552,726,302
1,6,15,30.3,26.3,24.6,100.8,0.020142333,73,1.121,81.8,5,50,5,1206,826,604,907,222
1,6,16,31.1,26.1,24.1,100.7,0.019476968,68,1.118,80.9,7,30,3,1012,769,634,980,135
1,6,17,30.5,26.5,24.8,100.6,0.020454961,73,1.118,82.8,8,60,1,766,586,485,898,101
1,6,18,30.0,26.0,24.3,100.5,0.019813047,73,1.119,80.6,5,30,1,484,371,307,684,64
1,6,19,25.4,23.2,22.0,100.4,0.017190459,83,1.140,69.2,6,50,1,186,143,118,8,25
1,6,20,26.2,24.0,22.9,100.4,0.018110188,84,1.136,72.4,6,40,3,2,2,1,3,0
1,6,21,25.5,23.3,22.1,100.6,0.01726593,83,1.142,69.5,6,30,3,0,0,0,0,0
1,6,22,24.6,23.2,22.3,100.8,0.017453451,89,1.147,69.0,5,30,3,0,0,0,0,0
1,6,23,23.8,22.7,21.9,100.8,0.017027387,91,1.151,67.1,2,50,3,0,0,0,0,0
1,6,24,24.1,22.5,21.5,100.8,0.016600472,87,1.151,66.3,2,60,9,0,0,0,0,0
1,7,1,24.0,22.5,21.6,100.9,0.016624934,88,1.152,66.3,2,50,8,0,0,0,0,0
1,7,2,24.0,22.6,21.7,100.8,0.016792544,89,1.151,66.7,2,60,10,0,0,0,0,0
1,7,3,24.0,22.7,21.9,100.8,0.016943222,90,1.151,67.1,2,340,6,0,0,0,0,0
1,7,4,24.4,23.6,23.0,100.7,0.018178735,94,1.146,70.7,5,350,5,0,0,0,0,0
1,7,5,24.0,23.2,22.6,100.7,0.017724781,94,1.148,69.1,5,350,5,0,0,0,0,0
1,7,6,23.0,22.2,21.6,100.7,0.016633671,93,1.154,65.3,2,360,5,37,25,18,60,7
1,7,7,23.1,22.3,21.7,100.8,0.016722635,93,1.155,65.6,0,0,1,298,228,189,407,39
1,7,8,25.8,23.6,22.4,100.8,0.017569377,83,1.143,70.6,4,20,4,593,427,335,657,92
1,7,9,27.4,23.9,22.3,100.8,0.01736803,75,1.137,71.7,3,10,3,864,656,541,740,115
1,7,10,28.6,24.6,22.8,100.8,0.017987194,72,1.131,74.5,3,30,3,1092,830,684,780,146
1,7,11,29.8,23.3,20.4,100.8,0.015424499,58,1.131,69.2,5,10,3,1262,959,791,752,168
