Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,
São Luis,-2.58,-44.23,-3,53,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,
1,5,23,25.6,23.1,21.8,100.3,0.01252,81,1.138728062,68.8,0,0,1,0,0,0,0,0,,
1,5,24,25.5,23.4,22.3,100.3,0.01221,84,1.138206499,70.0,0,0,0,0,0,0,0,0,,
1,6,1,25.3,23.8,22.9,100.3,0.01123,88,1.137699773,71.6,0,0,0,0,0,0,0,0,,
1,6,2,25,23.6,22.7,100.3,0.01085,89,1.139181661,70.8,0,0,0,0,0,0,0,0,,
1,6,3,24.5,23.2,22.4,100.2,0.01042,90,1.140661319,69.3,0,0,0,0,0,0,0,0,,
1,6,4,24.3,23.2,22.5,100.2,0.00983,91,1.141277843,69.3,0,0,0,0,0,0,0,0,,
1,6,5,24,23.1,22.4,100.2,0.00895,93,1.142480346,68.9,0,0,0,0,0,0,0,0,,
1,6,6,23.7,23,22.4,100.2,0.00804,94,1.143684197,68.6,0,0,0,0,0,0,0,0,,
1,6,7,23.6,23.1,22.6,100.2,0.00694,96,1.143718714,69.0,0,0,3,98,68,51,123,17,,
1,6,8,24.7,23.4,22.6,100.3,0.01057,90,1.140662193,70.0,3,120,3,419,247,133,243,114,,
1,6,9,27.8,23.2,21.1,100.5,0.01358,68,1.134090123,69.0,4,100,6,722,339,95,135,244,,
1,6,10,28.2,23.5,21.3,100.6,0.01377,68,1.133217998,70.2,6,100,8,978,386,59,70,327,,
1,6,11,30.8,24.2,21.4,100.6,0.01438,58,1.123499306,72.9,7,90,9,1169,689,371,391,318,,
1,6,12,32.4,25,22.0,100.5,0.01507,55,1.115368384,76.2,7,120,6,1281,814,517,519,296,,
1,6,13,32.7,24.8,21.5,100.5,0.01480,53,1.115069001,75.3,8,100,5,1308,876,618,626,259,,
1,6,14,33,25.3,22.2,100.4,0.01533,54,1.1116074,77.5,9,90,4,1248,867,649,705,218,,
1,6,15,33,26,23.3,100.2,0.01613,58,1.10725144,80.7,4,90,3,1104,789,614,763,175,,
1,6,16,32.8,25.9,23.2,100.2,0.01601,58,1.108128499,80.2,8,70,1,886,634,493,754,141,,
1,6,17,32,25.5,22.9,100.2,0.01566,60,1.111636453,78.5,6,90,1,610,433,334,672,99,,
1,6,18,30.4,25.3,23.2,100.2,0.01542,67,1.116909204,77.7,5,60,0,294,209,161,258,48,,
1,6,19,28.2,24.6,23.0,100.2,0.01430,75,1.125476439,74.8,3,90,0,24,17,13,32,4,,
1,6,20,27.4,24,22.4,100.2,0.01379,76,1.129590162,72.4,0,0,0,0,0,0,0,0,,
1,6,21,26.6,23.2,21.6,100.3,0.01325,75,1.135402209,69.2,0,0,0,0,0,0,0,0,,
1,6,22,26.3,23.1,21.5,100.3,0.01305,77,1.136589589,68.8,3,90,3,0,0,0,0,0,,
1,6,23,26,23.3,21.9,100.3,0.01282,80,1.136954887,69.6,0,0,0,0,0,0,0,0,,
1,6,24,25.5,23.1,21.8,100.3,0.01241,82,1.139034372,68.8,0,0,1,0,0,0,0,0,,
1,7,1,25.2,23,21.8,100.3,0.01218,83,1.140228651,68.5,0,0,0,0,0,0,0,0,,
1,7,2,24.9,23.4,22.5,100.3,0.01106,88,1.140047041,70.0,0,0,0,0,0,0,0,0,,
1,7,3,24.6,23,22.1,100.2,0.01111,87,1.140903578,68.5,0,0,0,0,0,0,0,0,,
1,7,4,24.4,23,22.1,100.2,0.01066,89,1.141520048,68.5,0,0,0,0,0,0,0,0,,
1,7,5,24.1,23.1,22.4,100.2,0.00947,92,1.142171271,68.9,0,0,4,0,0,0,0,0,,
1,7,6,24,22.7,21.9,100.2,0.01024,90,1.143574552,67.4,0,0,4,0,0,0,0,0,,
1,7,7,24.3,22.8,21.9,100.2,0.01087,88,1.142375157,67.8,0,0,3,96,61,39,94,22,,
